movie,year,certificate,genre.1,genre.2,genre.3,imdb_rating,metascore,time_minute,vote,gross_earning
"Aguirre, der Zorn Gottes",(1972),'-,Action, Adventure, Biography,7.8,'-,95 min,58519,'-
The General,(1926),'-,Action, Adventure, Comedy,8.1,'-,67 min,92992,$1.03M
Kakushi-toride no san-akunin,(1958),'-,Action, Adventure, Drama,8.1,89,139 min,40060,'-
The Magnificent Seven,(1960),'-,Action, Adventure, Drama,7.7,74,128 min,97247,$4.91M
Sherlock Jr.,(1924),'-,Action, Comedy, Romance,8.2,'-,45 min,51515,$0.98M
Knockin' on Heaven's Door,(1997),'-,Action, Crime, Comedy,7.8,'-,87 min,31665,$0.00M
Key Largo,(1948),'-,Action, Crime, Drama,7.7,'-,100 min,41963,'-
Scarface,(1932),'-,Action, Crime, Drama,7.7,87,93 min,28811,'-
Badlands,(1973),'-,Action, Crime, Drama,7.7,93,94 min,74643,'-
Chugyeokja,(2008),'-,Action, Crime, Drama,7.8,64,125 min,68350,'-
White Heat,(1949),'-,Action, Crime, Drama,8.1,'-,114 min,33911,'-
Tropa de Elite 2: O Inimigo Agora é Outro,(2010),'-,Action, Crime, Drama,8,71,115 min,84267,$0.10M
Seppuku,(1962),'-,Action, Drama, Mystery,8.6,85,133 min,59464,#45
Gongdong gyeongbi guyeok JSA,(2000),'-,Action, Drama, Thriller,7.7,58,110 min,31720,'-
Nefes: Vatan Sagolsun,(2009),'-,Action, Drama, Thriller,8,'-,128 min,34237,'-
Sullivan's Travels,(1941),'-,Adventure, Comedy, Drama,7.9,'-,90 min,27133,'-
The Gold Rush,(1925),'-,Adventure, Comedy, Drama,8.1,'-,95 min,112918,$5.45M
Fitzcarraldo,(1982),'-,Adventure, Drama,'-,8,'-,158 min,36109,'-
Stagecoach,(1939),'-,Adventure, Drama, Western,7.8,93,96 min,50670,'-
The Treasure of the Sierra Madre,(1948),'-,Adventure, Drama, Western,8.2,98,126 min,126613,$5.01M
King Kong,(1933),'-,Adventure, Horror, Sci-Fi,7.9,90,100 min,87193,$10.00M
In Cold Blood,(1967),'-,Biography, Crime, Drama,7.9,89,134 min,27415,'-
Zerkalo,(1975),'-,Biography, Drama,'-,8,80,107 min,48449,$0.18M
The Message,(1976),'-,Biography, Drama, History,8.1,'-,177 min,48585,'-
Inherit the Wind,(1960),'-,Biography, Drama, History,8.1,75,128 min,31098,'-
Ayla: The Daughter of War,(2017),'-,Biography, Drama, History,8.3,'-,125 min,41081,'-
La passion de Jeanne d'Arc,(1928),'-,Biography, Drama, History,8.2,98,110 min,56532,$0.02M
Andrei Rublev,(1966),'-,Biography, Drama, History,8.1,'-,205 min,54716,$0.10M
Bringing Up Baby,(1938),'-,Comedy,'-,'-,7.8,91,102 min,63079,'-
Le charme discret de la bourgeoisie,(1972),'-,Comedy,'-,'-,7.8,93,102 min,44340,$0.20M
Zelig,(1983),'-,Comedy,'-,'-,7.7,'-,79 min,42803,$11.80M
Life of Brian,(1979),'-,Comedy,'-,'-,8,77,94 min,405308,$20.05M
The Odd Couple,(1968),'-,Comedy,'-,'-,7.6,86,105 min,35879,$44.53M
Dom za vesanje,(1988),'-,Comedy, Crime, Drama,8.1,'-,142 min,31451,$0.28M
Down by Law,(1986),'-,Comedy, Crime, Drama,7.7,75,107 min,52746,$1.44M
The Thin Man,(1934),'-,Comedy, Crime, Mystery,7.9,86,91 min,30931,'-
Arsenic and Old Lace,(1944),'-,Comedy, Crime, Thriller,7.9,'-,118 min,72248,'-
Perfetti sconosciuti,(2016),'-,Comedy, Drama,'-,7.7,'-,96 min,67274,'-
La règle du jeu,(1939),'-,Comedy, Drama,'-,7.9,98,110 min,29876,'-
Vizontele,(2001),'-,Comedy, Drama,'-,8,'-,110 min,37405,'-
Amarcord,(1973),'-,Comedy, Drama,'-,7.9,'-,123 min,44650,$0.58M
Naked,(1993),'-,Comedy, Drama,'-,7.7,85,131 min,40951,$1.77M
Crimes and Misdemeanors,(1989),'-,Comedy, Drama,'-,7.8,77,104 min,58969,$18.25M
Being There,(1979),'-,Comedy, Drama,'-,8,83,130 min,74191,$30.18M
Hannah and Her Sisters,(1986),'-,Comedy, Drama,'-,7.8,90,107 min,72856,$40.08M
Guess Who's Coming to Dinner,(1967),'-,Comedy, Drama,'-,7.8,63,108 min,46471,$56.70M
Miracle on 34th Street,(1947),'-,Comedy, Drama, Family,7.9,88,96 min,50982,$2.65M
The Kid,(1921),'-,Comedy, Drama, Family,8.3,'-,68 min,128185,$5.45M
Harvey,(1950),'-,Comedy, Drama, Fantasy,7.9,'-,104 min,56489,'-
Underground,(1995),'-,Comedy, Drama, Fantasy,8.1,79,170 min,59303,$0.17M
Sabrina,(1954),'-,Comedy, Drama, Romance,7.6,72,113 min,66792,'-
Harold and Maude,(1971),'-,Comedy, Drama, Romance,7.9,62,91 min,78989,'-
Yeopgijeogin geunyeo,(2001),'-,Comedy, Drama, Romance,8,'-,137 min,48995,'-
Modern Times,(1936),'-,Comedy, Drama, Romance,8.5,96,87 min,245895,$0.16M
The Shop Around the Corner,(1940),'-,Comedy, Drama, Romance,8,96,99 min,35080,$0.20M
His Girl Friday,(1940),'-,Comedy, Drama, Romance,7.8,'-,92 min,60309,$0.30M
The Quiet Man,(1952),'-,Comedy, Drama, Romance,7.7,85,129 min,39897,$10.55M
You Can't Take It with You,(1938),'-,Comedy, Drama, Romance,7.8,'-,126 min,26520,$4.66M
Manhattan,(1979),'-,Comedy, Drama, Romance,7.8,83,96 min,142165,$45.70M
Her Sey Çok Güzel Olacak,(1998),'-,Comedy, Drama, Thriller,8.1,'-,107 min,26097,'-
Stalag 17,(1953),'-,Comedy, Drama, War,8,84,120 min,56746,'-
The Great Dictator,(1940),'-,Comedy, Drama, War,8.4,'-,125 min,226786,$0.29M
The Circus,(1928),'-,Comedy, Family, Romance,8.1,90,72 min,34552,'-
This Is Spinal Tap,(1984),'-,Comedy, Music,'-,7.9,92,82 min,141942,$4.74M
A Night at the Opera,(1935),'-,Comedy, Music, Musical,7.8,'-,96 min,33516,$2.54M
Duck Soup,(1933),'-,Comedy, Musical,'-,7.8,93,69 min,60965,'-
The Philadelphia Story,(1940),'-,Comedy, Romance,'-,7.9,96,112 min,70827,'-
It Happened One Night,(1934),'-,Comedy, Romance,'-,8.1,87,105 min,106112,$4.36M
To Be or Not to Be,(1942),'-,Comedy, Romance, War,8.2,86,99 min,38963,#227
Love and Death,(1975),'-,Comedy, War,'-,7.7,89,85 min,39338,'-
Le Samouraï,(1967),'-,Crime, Drama,'-,8,'-,105 min,53011,$0.04M
The Asphalt Jungle,(1950),'-,Crime, Drama, Film-Noir,7.8,85,112 min,28174,'-
Mildred Pierce,(1945),'-,Crime, Drama, Film-Noir,7.9,88,111 min,26822,'-
The Killing,(1956),'-,Crime, Drama, Film-Noir,7.9,91,84 min,91716,'-
Out of the Past,(1947),'-,Crime, Drama, Film-Noir,8,85,97 min,38501,'-
Double Indemnity,(1944),'-,Crime, Drama, Film-Noir,8.3,95,107 min,159508,$5.72M
Les diaboliques,(1955),'-,Crime, Drama, Horror,8.1,'-,117 min,66937,$1.09M
Gaslight,(1944),'-,Crime, Drama, Mystery,7.8,78,114 min,30658,'-
Tengoku to jigoku,(1963),'-,Crime, Drama, Mystery,8.4,90,143 min,46804,#86
Hana-bi,(1997),'-,Crime, Drama, Romance,7.7,'-,103 min,31463,$0.23M
Eskiya,(1996),'-,Crime, Drama, Thriller,8.1,'-,128 min,70598,'-
Du rififi chez les hommes,(1955),'-,Crime, Drama, Thriller,8.1,97,118 min,35316,$0.06M
Ascenseur pour l'échafaud,(1958),'-,Crime, Drama, Thriller,7.9,94,91 min,26700,$0.11M
Bir Zamanlar Anadolu'da,(2011),'-,Crime, Drama, Thriller,7.8,82,157 min,47451,$0.14M
Le cercle rouge,(1970),'-,Crime, Drama, Thriller,7.9,92,140 min,26268,$0.37M
Miller's Crossing,(1990),'-,Crime, Drama, Thriller,7.7,66,115 min,137367,$5.08M
The Maltese Falcon,(1941),'-,Crime, Film-Noir, Mystery,8,97,100 min,161026,$2.11M
The Big Sleep,(1946),'-,Crime, Film-Noir, Mystery,7.9,86,114 min,87340,$6.54M
The Big Heat,(1953),'-,Crime, Film-Noir, Thriller,7.9,'-,89 min,27445,'-
M - Eine Stadt sucht einen Mörder,(1931),'-,Crime, Mystery, Thriller,8.3,'-,117 min,160286,$0.03M
Black Narcissus,(1947),'-,Drama,'-,'-,7.7,86,101 min,25792,'-
Vivre sa vie: Film en douze tableaux,(1962),'-,Drama,'-,'-,7.8,'-,80 min,33086,'-
La Strada,(1954),'-,Drama,'-,'-,8,'-,108 min,64326,'-
Nattvardsgästerna,(1963),'-,Drama,'-,'-,8,'-,81 min,25730,'-
Såsom i en spegel,(1961),'-,Drama,'-,'-,8,84,90 min,26053,'-
Miracle in Cell No. 7,(2019),'-,Drama,'-,'-,8.2,'-,132 min,50772,'-
Nostalgia,(1983),'-,Drama,'-,'-,8,'-,125 min,28089,$0.01M
